date,location,meal,category,name
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),International Flavors,Chicken Caesar Pasta Bake
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Assorted Veggie Toppings
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Jalapeno Peppers
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,JP's Blueberry Muffin
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,JP's Brownie
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,American Cheese
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Garden Burger Patty
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Turkey Tacos
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Hamburger Bun
2022-03-06,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Bacon
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,Katz Glazed Donut Holes
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Rotisserie,Mashed Sweet Potatoes
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Cheese Bread
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Wood Fired Pizza,Classic Cheese Pizza
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,JP's Snickerdoodle Cookie
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Raspberry Cookies
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Steamed Peas
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Specialty Bakery,Assorted Danishes
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'Doughs Multigrain Sandwich Slices
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,JP's Blueberry Muffin
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,O'Doughs Pumpernickel Bagel
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Zesty Salsa Verde
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'Doughs Original Sandwich Slices
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Marinara Sauce
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Lemon Meringue Pie
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Rosemary Potatoes
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,Katz Glazed Donut Holes
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Rice Krispie Treats
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Jalapeno Cabbage Slaw
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Bacon Cheddar Chive Mashed Potatoes
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Cage-Free Egg
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,O'Doughs Multigrain Sandwich Slices
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'Doughs Pumpernickel Bagel
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Rotisserie,Brown Sugar Glazed Ham
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,O'Doughs Original Sandwich Slices
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,Katz Cinnamon Donut Hole
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Udi's Gluten-Free Hamburger Bun
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Pancake Syrup
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'doughs Everything Bagel
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Lettuce
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,JP's Snickerdoodle Cookie
2022-03-06,top-of-lenoir,Continental  (10am-11am),Specialty Bakery,Vegan Cinnamon Raisin Muffin
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Wood Fired Pizza,Classic Pepperoni Pizza
