category,name
Burritos & Bowls,Crispy Wonton Chips
The Kitchen Table,Roasted Cumin Eggplant
Rotisserie,Savory Wild Rice Pilaf
The Grill,Bacon Bits
Simply Prepared Grill,Cajun Chicken Breast
International Flavors,Shrimp
Burritos & Bowls,Sour Cream
The Kitchen Table,Edamame
Soup and Salads,Beef Poblano Chowder
Bakery,Cherry Cobbler Bread
Soup and Salads,Olympia Slaw
Soup and Salads,Mediterranean Macaroni Salad
Plant Forward,Seasoned Cauliflower
Specialty Bakery,Lemon Cake
Rotisserie,Chicken Piccata
Rotisserie,Satay Beef Flank Steak
Vegan Plant Forward,Spinach Orzo
Rotisserie,Sliced Carrots
Plant Forward,Vegan Makhani
International Flavors,Cajun Shrimp & Grits
The Kitchen Table,Chicken Pot Pie
Nacho Bar,Queso Sauce
Plant Forward,Oven Roasted Green Beans
Specialty Bakery,Cinnamon Doughnut Bites
The Kitchen Table,Biscuits
The Grill,Local Grass-fed Burger Patties
The Griddle,Pimento Cheeseburger
The Grill,Garden Burger Patty
Plant Forward,Steamed Green Peas
Rotisserie,Char Sui Pork
Rotisserie,Sauteed Spinach
Bakery,Breakfast Nut Bread
Simply Prepared Grill,Steamed Green Peas
Plant Forward,Roasted Eggplant
Vegan Plant Forward,Pumpkin Curry Grain Bowl
Rotisserie,Steamed Bok Choy
Create,Frozen Mixed Berries
Rotisserie,Cage-Free Egg
Rotisserie,Asian Slaw
The Kitchen Table,Tomato Glazed Meatloaf
The Kitchen Table,Cajun Rotisserie Chicken
Plant Forward,Rice Grits
Simply Prepared Grill,Roasted Eggplant
The Kitchen Table,Mushrooms with Red Onions
International Flavors,Crumbled Sausage
Vegan Plant Forward,Vegan Banana French Toast
Rotisserie,Herbed Roasted Turkey
Rotisserie,Brown Sugar Glazed Ham
Plant Forward,Honey Granola
The Grill,Chicken Cheesesteak Sandwich
The Kitchen Table,Chicken Tandoori
Burritos & Bowls,Salsa
International Flavors,Pineapples
Bakery,Banana Brown Sugar Bread
Specialty Bakery,Orange Muffin
The Griddle,Strawberry French Toast
Simply Prepared Grill,Oven Roasted Baby Carrots
The Grill,Cheddar Bacon Turkey Burger
Pizza,Sliced Mushrooms
The Kitchen Table,Sausage Patty
Pizza,Classic Cheese Pizza
The Kitchen Table,Oatmeal
Burritos & Bowls,Shredded Carrots
Create,Hawaiian Chicken Poke Bowl
The Grill,Hamburger
The Kitchen Table,Colossal Salisbury Meatball
The Griddle,Pico de Gallo
Pasta,Roasted Red Pepper Pasta Alfredo
Specialty Bakery,Chocolate Croissant
Nacho Bar,Cheddar Cheese
International Flavors,Stir- Fry Beef
Rotisserie,Chicken Marsala
The Kitchen Table,Pancake Syrup
International Flavors,Veggie Stir-Fry Blend
The Kitchen Table,Roasted Garlic Mashed Potato
Rotisserie,Turmeric Tofu Scramble
Vegan Plant Forward,Fresh Sauteed Spinach
The Griddle,Spicy Crispy Chicken Sandwich
Pasta,Marinara Sauce
Rotisserie,Garlic and Cumin Cauliflower
Bakery,Vegan Jelly Filled Muffin
The Griddle,Avocado Jalapeno Turkey Burger
Plant Forward,Vegan Banana French Toast
Rotisserie,Herbed Spaghetti
The Griddle,American Cheese
The Kitchen Table,Steamed Whole Green Beans
Rotisserie,Lamb Kofta Curry
Vegan Plant Forward,Chickpea Tagine
Bakery,Chocolate Chip Scones
Specialty Bakery,Almond Joy Cheesecake
Rotisserie,Stewed Tomatoes
Rotisserie,Baked Mole Chicken
Pasta,Chicken Taco Tortilla Bake
Simply Prepared Grill,Roasted Sirloin
Plant Forward,Roasted Squash
Rotisserie,Avocado Smash Bowl
The Kitchen Table,Homestyle Mashed Potatoes
Burritos & Bowls,Chipotle Shrimp
Simply Prepared Grill,Cilantro Lime Chicken
Specialty Bakery,Black Forest Cupcakes
Simply Prepared Grill,Roasted Squash
Nacho Bar,Chipotle Pulled Pork
The Kitchen Table,Pork Sausage Link
The Griddle,Crinkle Cut Fries
Burritos & Bowls,Pico Salsa
Burritos & Bowls,Beef Taco
Rotisserie,Steamed Peas
International Flavors,Zesty Salsa Verde
Burritos & Bowls,Pickled Radish
Vegan Plant Forward,Baked Jerk Tofu
The Grill,Nashville Hot Chicken Sandwich
The Grill,Braised Lamb Gyro
Rotisserie,Steamed Carrots
Rotisserie,Freshly Roasted Squash and Zucchini
Bakery,Cranberry Orange Muffin
Plant Forward,Steamed Corn on the Cob
The Kitchen Table,Shrimp and Broccoli Stir- Fry
The Grill,Angus Patty Melt
International Flavors,Curry Sauce
Plant Forward,Steamed Seasoned Broccoli
Plant Forward,Vegan Arancini
Vegan Plant Forward,Tofu-Potato Hash
Homemade Soups,Mushroom and Wild Rice Soup
Plant Forward,Arugula
Plant Forward,Grape Tomatoes
Plant Forward,Roasted Broccoli
Plant Forward,Classic Lentils
Plant Forward,Grilled Party Baguette
Plant Forward,Herbs de Provence Dressing
Plant Forward,Goat Cheese
Plant Forward,Olive Tapenade Spread
Specialty Bakery,Powdered Sugar Donut Bites
Plant Forward,Indian Lentil Soup
Plant Forward,Bombay Veg Sandwich
The Griddle,Sliced Pepper Jack Cheese
The Griddle,Fresh Pico de Gallo
The Griddle,Cajun Chicken Breast
