category,name
Plant Forward,Black Bean Veggie Taco
Pasta Bar,Italian Sausage
Nacho Bar,Chipotle Pinto Beans
Pizza,Pepperoni Pizza
Specialty Bakery,S'mores Brownie
Pizza,Goat Cheese and Spinach Pizza
The Kitchen Table,Basmati Rice
Burritos & Bowls,White Rice
The Kitchen Table,Pork Sausage Patties
The Kitchen Table,Tofu Florentine
Bakery,Orange Coffee Cake w/ Chocolate Streusel
Chef's Corner,Cilantro Marinated Chicken
Specialty Bakery,Blueberry Banana Bread
Specialty Bakery,Funfetti Cookies
Soup and Salads,Kale and Butternut Salad
Plant Forward,Vegan Cheddar Cheese
Soup and Salads,New England Clam Chowder
The Kitchen Table,Roast Beef Sandwich with Gravy
Specialty Bakery,JP's Snickerdoodle Cookie
Rotisserie,Tofu-Potato Hash
Fresh,Chipotle Chicken and Cheese Panini
Homemade Soups,Hungarian Goulash Soup
The Kitchen Table,Breakfast Sausage
Homemade Soups,Creamy Tomato Soup
International Flavors,Roasted Red Pepper
The Kitchen Table,Buttermilk Pancakes
The Kitchen Table,Bacon
Simply Prepared Grill,Munchen Herbed Pork Loin
Plant Forward,Tikka Masala Tofu
Burritos & Bowls,Blackened Tofu
The Kitchen Table,Bacon Bits
International Flavors,Grits
The Kitchen Table,Pulled Chicken BBQ
Bakery,Cinnamon Roll Fans
The Kitchen Table,Blueberry Buttermilk Pancakes
Specialty Bakery,Blueberry Swirl Cheesecake
Rotisserie,Chipotle Ketchup
The Kitchen Table,Roasted Mushrooms
Rotisserie,Cuban Black Beans and Rice
Nacho Bar,Iceberg Lettuce
Vegan Plant Forward,Steamed Green Peas
Simply Prepared Grill,Roasted Tomato
Specialty Bakery,Peaches & Cream Parfait
Create,Sliced Bananas
The Griddle,Chorizo Breakfast Bowl
Rotisserie,Spicy Kale
Plant Forward,Crinkle Cut Fries
International Flavors,Creamy Penne with Chicken
International Flavors,Cabbage
Nacho Bar,Taco Beef
Rotisserie,White Rice Pilaf
International Flavors,Green Peppers
Simply Prepared Grill,Steamed Whole Green Beans
The Kitchen Table,Jalapeno Corn Nuggets
The Griddle,Iceberg Lettuce
Vegan Plant Forward,Jasmine Rice
Specialty Bakery,Cake Batter Sugar Cookie
Specialty Bakery,Cookies & Cream Cheesecake
Bakery,Raisin Bran Muffin
Pasta Bar,Pesto Alfredo Sauce
The Kitchen Table,Creole BBQ Chicken
Plant Forward,Vegan Eggplant Parmesan
Simply Prepared Grill,Chorizo Succotash
The Grill,Hamburger Bun
Specialty Bakery,Blueberry White Chocolate Bread Pudding with Almond Sauce
Create,Tofu Poke Bowl
Plant Forward,Vegan Potato Croquettes
Pasta,Stuffed Shells with Meat Sauce
The Grill,Cheese Quesadilla
Fresh,Roasted Veggie Hummus Panini
Specialty Bakery,Blueberry Cream Cheese Turnover
The Kitchen Table,Roasted Pork and Apples
The Kitchen Table,Sundried Tomato Pasta Salad
Rotisserie,Herb Roasted Red Potatoes
The Kitchen Table,Homestyle Gravy
Specialty Bakery,Cherry Cobbler Bread
The Kitchen Table,Steamed Edamame
International Flavors,Baked Butternut Mac & Cheese
Vegan Plant Forward,Sauteed Onion
The Kitchen Table,St Louis Pork Ribs
Homemade Soups,Cream of Mushroom Soup
International Flavors,Housemade Stir-fry Sauce
Soup and Salads,Bean and Bacon Soup
Specialty Bakery,Raspberry White Chocolate Cheesecake
Pasta,Spaghetti + Meatball Bake
Rotisserie,Scallion Basmati Rice
Plant Forward,Fresh Raspberries
The Kitchen Table,Cheese Sauce
International Flavors,Bacon Pieces
Specialty Bakery,Breakfast Nut Bread
Plant Forward,Enchilada Sauce
The Kitchen Table,Country Fried Steak
Rotisserie,Steamed Broccoli
Plant Forward,Vegan Butternut Squash Risotto
Plant Forward,Stewed Tomatoes and Okra
Bakery,Cranberry Scones
International Flavors,Shredded Carrots
Soup and Salads,Hearty Vegetable Soup
Rotisserie,Sweet Plantains
The Kitchen Table,Lemon Wedges
Pasta Bar,Spaghetti Noodles
Create,100% Orange Juice
Simply Prepared Grill,Stewed Tomatoes and Okra
Plant Forward,Sauteed Garlic Broccoli Rabe
Simply Prepared Grill,Jasmine Rice
Specialty Bakery,Decadent S'mores Cookie
Soup and Salads,Chili Cheddar Potato Chowder
Vegan Plant Forward,Pulled Soy Nugget Tacos
The Kitchen Table,White Bean Ragout
Specialty Bakery,Banana Brown Sugar Bread
Simply Prepared Grill,Red Beans & Rice
International Flavors,Mushrooms
Plant Forward,White Bean and Pepper Stew
Rotisserie,Turkey Tacos
International Flavors,Asparagus
Pasta Bar,Freshly Roasted Squash and Zucchini
International Flavors,Pea & Mushroom Tortellini Alfredo
Fresh,Spinach & Artichoke Panini
The Kitchen Table,White Rice
Specialty Bakery,Chocolate Bundt Cake with Chocolate Ganache
Specialty Bakery,Flourless Monster Cookie Bar
Bakery,Vegan Chocolate Banana Bread
Pasta Bar,Linguine Pasta
Plant Forward,Salsa
