category,name
Specialty Bakery,Alfajor Cookie
Specialty Bakery,Cinnamon Churro
Pasta Bar,Gazpacho
Plant Forward,Vegan Butternut Squash Risotto
Specialty Bakery,Mexican Horchata
Plant Forward,Stuffed Baked Eggplant
The Kitchen Table,Cuban Black Beans and Rice
The Kitchen Table,Fried Plantains
Rotisserie,Baked Beans
Rotisserie,Roasted Montreal Pork Loin
Specialty Bakery,M&Ms
The Kitchen Table,Ropa Vieja
Rotisserie,Rotisserie Roasted Chicken and Pipian Sauce
Burritos & Bowls,Cilantro-Lime Pulled Chicken
Rotisserie,Elotes
International Flavors,Chicken Enchiladas Verde
Specialty Bakery,Caramel Sauce
International Flavors,Cheese Tortellini Marinara
Plant Forward,Vegan Meatball Sandwich
The Kitchen Table,Simply Roasted Green Chili Corn
Bakery,Lemon Loaf
Wood Fired Pizza,Ham & Pineapple Pizza
Plant Forward,Eggplant Balls with Mushroom Gravy
The Grill,Grilled Hot Dog
The Griddle,Spicy Crispy Chicken Sandwich
The Griddle,Pimento Cheese and Tomato Sandwich
The Kitchen Table,Steamed California Blend Vegetables
Rotisserie,Peppered Turkey Breast
The Kitchen Table,Loaded Turkey Taco
The Kitchen Table,Blackened Salmon
Plant Forward,Corn on the Cob
Burritos & Bowls,Shredded Taco Chicken
Specialty Bakery,Flourless Monster Cookie Bar
Simply Prepared Grill,Sauteed Green Beans & Tomatoes
Simply Prepared Grill,Rosemary Thyme Potatoes
Simply Prepared Grill,Frank's Steak Sauce
Simply Prepared Grill,Grilled Portobello Mushrooms
The Kitchen Table,Red Lentil Pasta
The Kitchen Table,Vegetable Medley
The Kitchen Table,Spaghetti Noodles
Rotisserie,Braised Lamb
Plant Forward,Roasted Cauliflower
Plant Forward,Vegan Pulled Chikin BBQ
International Flavors,Ziti Casserole
The Kitchen Table,Steamed Potato Wedges
The Kitchen Table,Shredded Chicken Tacos
The Kitchen Table,Cumin Black Beans
The Kitchen Table,Smoked Satay Steak
Rotisserie,Seared Salmon
Rotisserie,Vegetable Medley
Rotisserie,Herb Roasted Pork Loin
The Griddle,Shredded Monterey Jack Cheese
The Griddle,Flour Tortilla
Specialty Bakery,Coconut Sheet Cake
International Flavors,Sausage
The Griddle,Pico de Gallo
The Griddle,Freshly Scrambled Eggs
The Kitchen Table,Montreal Roasted Flank Steak
Plant Forward,Broccoli Rabe with Garlic
